#              Col 1             Col 2            Col 3            Col 4            Col 5            Col 6            Col 7               Col 8            Col 9           Col 10           Col 11           Col 12           Col 13
#          time [JD]     r_I_ECI  [km]    r_J_ECI  [km]    r_K_ECI  [km]  v_I_ECI  [km/s]  v_J_ECI  [km/s]  v_K_ECI  [km/s]       r_I_ECEF [km]    r_J_ECEF [km]    r_K_ECEF [km]  v_I_ECEF [km/s]  v_J_ECEF [km/s]  v_K_ECEF [km/s]
 2456753.87818287034      40418.679154     11972.048095      -506.219204        -0.873429         2.948298         0.038886        29305.015399     30302.960012      -450.005574        -0.000837         0.000530         0.037545
 2456753.87887731474      40365.886525     12148.830744      -503.881229        -0.886323         2.944448         0.039047        29304.965142     30302.991914      -447.748538        -0.000838         0.000533         0.037689
 2456753.87957175961      40312.320741     12325.380832      -501.533597        -0.899200         2.940542         0.039207        29304.914875     30303.023962      -445.482920        -0.000838         0.000535         0.037831
 2456753.88026620401      40257.982897     12501.694740      -499.176356        -0.912059         2.936579         0.039367        29304.864596     30303.056155      -443.208765        -0.000838         0.000538         0.037973
 2456753.88096064841      40202.873996     12677.769211      -496.809550        -0.924901         2.932561         0.039526        29304.814306     30303.088492      -440.926116        -0.000838         0.000540         0.038115
 2456753.88165509282      40146.995093     12853.600870      -494.433223        -0.937726         2.928486         0.039685        29304.764004     30303.120970      -438.635016        -0.000838         0.000542         0.038255
 2456753.88234953722      40090.347254     13029.186349      -492.047422        -0.950532         2.924355         0.039842        29304.713690     30303.153589      -436.335509        -0.000838         0.000545         0.038395
 2456753.88304398162      40032.931564     13204.522285      -489.652192        -0.963321         2.920168         0.039999        29304.663364     30303.186348      -434.027639        -0.000839         0.000547         0.038534
 2456753.88373842603      39974.749120     13379.605320      -487.247578        -0.976091         2.915925         0.040155        29304.613026     30303.219244      -431.711450        -0.000839         0.000549         0.038672
 2456753.88443287043      39915.801035     13554.432099      -484.833628        -0.988842         2.911626         0.040310        29304.562676     30303.252277      -429.386986        -0.000839         0.000552         0.038810
 2456753.88512731483      39856.088435     13728.999272      -482.410386        -1.001575         2.907271         0.040465        29304.512313     30303.285446      -427.054292        -0.000839         0.000554         0.038946
 2456753.88582175924      39795.612462     13903.303497      -479.977899        -1.014288         2.902861         0.040618        29304.461937     30303.318750      -424.713413        -0.000840         0.000556         0.039082
 2456753.88651620364      39734.374274     14077.341434      -477.536215        -1.026982         2.898395         0.040771        29304.411548     30303.352186      -422.364393        -0.000840         0.000558         0.039218
 2456753.88721064804      39672.375040     14251.109748      -475.085378        -1.039656         2.893873         0.040923        29304.361146     30303.385754      -420.007277        -0.000840         0.000560         0.039352
 2456753.88790509291      39609.615905     14424.605228      -472.625436        -1.052310         2.889296         0.041075        29304.310731     30303.419453      -417.642109        -0.000840         0.000563         0.039486
